"created_at",content,interactions,source
"Apr 3, 2024 @ 13:30:05.000","Clara Brugada, candidata a la Jefatura de Gobierno por la coalición Sigamos Haciendo Historia, advierte de intento de judicializar la elección por parte de Santiago Taboada 
👉 https://tinyurl.com/24h6hswx","1,636","https://www.facebook.com/ElUniversalOnline/posts/pfbid0aGCjUMJ8BTMxy8KzXPehKVVuGAnAceTZejw9K1fzyodbZtu7jNCjCWcoi5hKQMnWl"
"Apr 3, 2024 @ 13:30:05.000","Clara Brugada, candidata a la Jefatura de Gobierno por la coalición Sigamos Haciendo Historia, advierte de intento de judicializar la elección por parte de Santiago Taboada 
👉 https://tinyurl.com/24h6hswx","1,189","https://www.facebook.com/ElUniversalOnline/posts/pfbid0aGCjUMJ8BTMxy8KzXPehKVVuGAnAceTZejw9K1fzyodbZtu7jNCjCWcoi5hKQMnWl"
"Apr 3, 2024 @ 15:17:51.000","📹 #Vídeo | La hipocresía de la derecha: @ClaraBrugadaM calificó como un hecho “muy grave” que @STaboadaMx y ante la desesperación se haya reunido con el Sindicato Libertad.

“Es muy grave ese encuentro, alianza y trabajo conjunto entre el Sindicato Libertad y el candidato… https://t.co/Hj9iVRgGDq",285,"https://twitter.com/ReporterosMX_/status/1775633839051665479"
"Apr 3, 2024 @ 13:39:01.000","""Ya se van"", el candidato de la alianza PAN-PRI-PRD a la Jefatura de Gobierno de la Ciudad de México, Santiago Taboada, se lanzó contra Morena y aseguró que el pueblo ya no les cree y se les acabó el tiempo.

",164,"https://www.facebook.com/PoliticoMX/posts/pfbid032YStNXbLAQZXiLhf92npYnUiyutkxW1DPfQ3y7hBxLSVzc1fqCmJupakNP2YTAmbl"
"Apr 3, 2024 @ 16:30:04.000","""Próxima estación, Estadio Azteca"": el candidato Santiago Taboada quiere extender la Línea 2 del Metro, con miras hacia el Mundial 2026",133,"https://www.facebook.com/ElFinancieroMx/posts/pfbid02or3VZB481KmJAMuQC1BViEW1hesD1ydR6pr8JjUWvKnoKC9ghvgkM1R1oHcnUVkRl"
"Apr 3, 2024 @ 16:30:04.000","""Próxima estación, Estadio Azteca"": el candidato Santiago Taboada quiere extender la Línea 2 del Metro, con miras hacia el Mundial 2026",131,"https://www.facebook.com/ElFinancieroMx/posts/pfbid02or3VZB481KmJAMuQC1BViEW1hesD1ydR6pr8JjUWvKnoKC9ghvgkM1R1oHcnUVkRl"
"Apr 3, 2024 @ 09:00:45.000","“Layda Sansores me entregó la alcaldía hecha un desastre”: Lía Limón

La candidata del PRI, PAN y PRD, a la Alcaldía Álvaro Obregón, recordó la crisis de seguridad que se vive en Campeche y culpó a la gobernadora; afirma que ""no tiene cola que le pisen"" por eso denunció la intervención de Martí Batres en la elección por la jefatura de gobierno de la CDMX, en donde aseguró que Santiago Taboada ganará.

📌 No te pierdas la entrevista completa con Juan Pablo de Leo en ▶️  
https://youtu.be/pZEpwdOrBDE",107,"https://www.facebook.com/PoliticoMX/posts/pfbid02PMDhqEK85X7J97ujyWy1wjZg1SfSsvCfG3ZT6mBBEsjuBpyuDJbdk9nBHYL75vNcl"
"Apr 3, 2024 @ 20:55:10.000","Hoy caminé de la mano de quien nació, conoce y ama Xochimilco: Gabriel del Monte, quien junto con @STaboadaMx ¡Vamos a cambiar Xochimilco y la CDMX! 

Gracias por abrirnos la puerta y gracias por quererse sumar a este GRAN PROYECTO. 

Este 2 de junio ¡ábrele la puerta AL CAMBIO! https://t.co/uScTXPUKGA",101,"https://twitter.com/DanyAlvarezca/status/1775718725829771350"
"Apr 3, 2024 @ 10:10:45.000","Justo por esto es que el @GobCDMX quiere intervenir ILEGALMENTE en la elección: tenemos tendencias.

1️⃣La candidata oficial van en caída
2️⃣@STaboadaMx va creciendo

Por favor aparta el 2 de junio. No le fallemos a la CDMX.

#YaSeVan
#SiHayDeOtra 
#VotaPAN
#ElCambioViene https://t.co/SFY3r73nH1",80,"https://twitter.com/AAtaydeR/status/1775556553543737506"
"Apr 3, 2024 @ 17:07:09.000","Oigan @SacMexCDMX @STaboadaMx @martibatres @BJAlcaldia  está pasando @En_laDelValle que el agua de la llave huele a gasolina? ¿Qué hacemos para no intoxicarnos? El mundo del revés, falta agua en la #CDMX y ahora está contaminada quien sabe porqué.... y claro... las autoridades… https://t.co/5824YhOXsH",76,"https://twitter.com/soyloshe_/status/1775661343603056917"
"Apr 3, 2024 @ 16:17:46.000","La derecha está desesperada: @ClaraBrugadaM calificó como “muy grave” la alianza entre @STaboadaMx y el Sindicato Libertad, señalado de extorsionar a empresarios de la construcción. https://t.co/KzcCCxg7X9 https://t.co/pUGMRtF3JA",74,"https://twitter.com/ReporterosMX_/status/1775648916924420246"
